"x [nm]","y [nm]"
2406.7757,2990.83969
2773.63933,2343.48743
2783.35639,2354.08914
4919.13533,2624.62948
2058.00724,3853.47503
2033.52369,3883.70869
2035.99212,3886.0294
2020.70148,3888.93055
2033.37368,3881.61719
4260.74016,2508.80763
4255.57893,2516.75863
2007.39865,3883.77624
4264.98465,2514.27887
2029.96238,3884.34769
2032.10793,3880.55992
1721.84802,4446.09894
3556.78345,2450.22089
1716.2338,4438.69103
3556.56859,2458.54122
3560.46552,2471.55527
3558.22912,2454.21076
3558.98322,2447.49636
1515.60625,5543.32165
3554.66646,2458.61794
2104.49372,3786.98535
3562.59946,2464.98015
5548.71709,2798.00126
5538.7497,2819.20441
3624.92149,2452.48432
2031.04082,3700.52809
3624.26775,2460.32614
2027.45239,3696.65651
5026.27565,2606.29457
1486.33351,5526.4949
1491.94237,5541.27735
1487.00691,5532.37682
3519.97994,865.51256
3522.03212,858.29807
4979.36195,2589.78163
4962.00929,2578.81614
5033.5129,2598.20389
2282.82711,3295.34359
5662.10332,2849.83297
1472.37532,5607.82113
1472.08122,5610.35532
5042.30314,2613.60973
5662.2251,2859.60734
1473.7301,5610.23968
1481.05475,5613.33054
2282.98989,3285.50211
2288.85973,3294.7538
2278.30173,3282.07965
2283.9615,3283.73774
2277.11056,3277.91274
3277.01493,1766.22725
3281.87228,1771.84819
3259.90239,1825.2838
2148.09143,3744.27571
3747.9841,575.12463
3412.20785,2438.63524
3425.1214,2433.78522
3727.69778,555.26004
3720.79376,569.79191
1495.26748,5753.60268
2249.82601,3643.1592
3730.61856,553.66669
2249.14855,3647.4028
1502.63928,5715.68927
1503.57395,5729.17358
1506.46308,4997.39343
1490.22709,5003.91612
3983.03089,2585.93672
3772.09953,566.09713
4016.4331,2550.94723
4017.64666,2546.64382
4018.91174,2552.17108
3051.29987,1912.18552
2642.90281,2645.19434
2638.6782,2637.61427
5581.49643,2854.32045
1295.85335,1759.4016
5580.16914,2831.63029
1315.74269,1847.18082
2651.4312,2631.18567
5580.74717,2833.57434
2637.1341,2644.56137
5576.38321,2838.16081
5579.65479,2839.13768
5586.53875,2835.87709
5567.4082,2834.60073
2647.57378,2652.6582
1678.03308,4614.77419
2429.08078,2325.88497
2429.2448,2326.27095
2440.55438,2327.84721
3077.10586,1887.74057
3102.08238,1891.74868
4679.60852,2572.60093
3073.3423,1913.87557
2645.99155,2640.69421
2637.52131,2681.78376
2657.71169,2376.96149
2652.61621,2381.0672
2655.20295,2366.82979
2652.38749,2372.78838
2695.49773,2559.78663
2968.64523,1975.39192
3322.97001,1949.11064
3383.70741,1728.89592
3439.18461,2486.32143
2868.23356,2140.58445
2867.17856,2142.78478
4027.51171,2469.38591
2572.19653,2742.59182
4032.13507,2463.56442
2570.40609,2752.25793
4028.49091,2453.70252
1495.29194,5893.54466
2570.47526,2744.26276
2566.73989,2741.81763
1484.71011,5593.09238
2612.21288,3303.50323
4150.40025,2584.55139
2609.10755,3304.43525
4176.86453,2558.99997
1477.64258,5329.74528
2943.21506,3082.05433
5163.33434,2691.1304
5161.71057,2694.39477
4477.22602,2526.93828
545.27967,1404.07742
520.1746,1390.6265
3380.12173,2622.3185
532.8069,1404.6997
3367.14114,2612.43386
527.741,1408.10802
3366.01586,2606.27801
3373.74425,2604.6581
5164.92131,2700.16269
2157.60285,2264.47681
3362.53915,2609.03852
5158.42343,2693.39765
3381.99858,2613.30631
5155.7758,2695.57907
2172.93789,2242.57314
2163.39681,2266.87683
1521.23499,5771.56679
1942.5923,3852.18026
1510.43568,5807.42283
1955.80524,3834.91616
3169.09348,1836.63615
1946.97898,3843.36343
3160.87059,1845.92737
2383.93595,3072.70807
3157.96184,1842.75591
2380.62838,3084.11495
3162.885,1846.65878
2382.41415,3077.00563
3165.35484,1844.4471
3166.80775,1846.75287
2240.47683,2232.95352
5374.29459,2778.66858
2210.74007,2259.60032
5363.16462,2768.08934
2213.86222,2264.745
2378.16838,3067.64241
3176.15226,1845.368
5352.85714,2764.99417
2222.93911,2247.96755
3161.81399,1853.78062
5315.91218,2754.03532
4347.42107,2511.5013
4353.29572,2509.70142
4355.87226,2521.84752
3162.79843,1845.45581
4370.99817,2516.15593
4345.83201,2511.47989
1259.99534,1767.37785
1250.62106,1743.06132
3164.64578,1836.12465
3725.11948,2460.13005
1258.59803,1776.87463
3711.24165,2477.22813
1258.40723,1785.93282
1262.70746,1775.56458
2004.10007,3927.54816
1248.6361,1766.81936
2586.90037,2351.74627
2597.917,2355.12784
3372.68118,1721.27833
3371.05446,1739.4438
4306.54401,2505.85079
4315.07068,2524.67452
2290.35944,3227.11511
2304.39497,3223.05499
2317.2556,3227.13369
2387.24086,3505.68293
2384.45491,3502.76876
3654.03382,710.59026
2388.74102,3500.12492
2376.54845,3481.81956
1471.74226,5358.50543
2381.2317,3507.0535
2379.9924,3502.75468
2390.73738,3498.89987
2385.43215,3500.21212
714.93632,1729.03603
2382.21716,3498.16544
4102.16854,2476.9702
2828.02199,3169.27216
2805.51004,3149.35713
3444.23817,1701.72061
3427.17706,1684.17099
2433.89655,2979.88218
2431.12264,2989.03777
1718.85103,4404.2454
2210.90733,3422.60939
2207.12359,3419.40308
2922.36051,3100.05276
2922.67708,3117.60349
3512.34533,2445.09312
1600.82507,5026.15574
1584.78604,5203.10814
1593.4519,5059.35033
1619.19742,5038.47402
3223.4159,1785.93104
2039.14791,3881.99804
2035.84491,3888.0773
2045.71169,3884.87447
2474.79293,2902.23258
2453.65283,2886.06413
2795.09303,2273.40486
2030.45837,2234.785
2487.93806,2876.04804
2047.75543,2231.37926
2054.31241,2220.93303
2038.17589,2205.04119
2046.03964,2218.03717
2051.75253,2204.29914
4993.81569,2648.07616
1670.67881,2049.6897
4980.57046,2639.27234
1664.88154,2044.39613
5319.16234,2747.50346
3479.73203,2474.46375
5336.38739,2745.4743
1608.52539,4679.77362
1461.02396,5604.05783
1603.21586,4680.64879
1487.50625,5285.66216
1482.06179,5306.61876
3605.05489,2454.73223
1620.82469,4676.54479
3593.99778,2447.96988
3591.80318,2474.34289
3599.62334,2453.24367
3612.25755,2451.95868
1590.57935,4703.48214
4207.28894,2463.80501
1726.86021,4378.23996
4171.44185,2480.79586
4165.30592,2483.30142
1818.0469,2109.22213
1602.20648,4686.49745
